name,label,municipality
djantega_marou_beri_djatinga),Djantega (Marou Beri Djatinga),fakara
gobirko_beri_banizounbou,Gobirko Beri Banizounbou,fakara
gobirko_beri_zanguina,Gobirko Beri Zanguina,fakara
gombewa,Gombewa,fakara
gombewa_zeno,Gombewa Zeno,fakara
guidal,Guidal,fakara
kobedey,Kobedey,fakara
kodo,Kodo,fakara
marou_beri_sekou_kouara,Marou Beri Sekou Kouara,fakara
marou_beri_tagui,Marou Beri Tagui,fakara
tanna_kaina,Tanna Kaina,fakara
tanna_beri,Tanna Beri,fakara
tanna_peulh_tanna_foulando,Tanna Peulh (Tanna Foulando),fakara
toudou_djerma,Toudou Djerma,fakara
toudou_peulh,Toudou Peulh,fakara
autre,Autre (… pr‚ciser),fakara
alzanna_fandou,Alzanna Fandou,ngonga
bagawamou,Bagawamou,ngonga
barbe_zarma,Barbe Zarma,ngonga
barbe_peulh,Barbe Peulh,ngonga
boula_i,Boula I,ngonga
boula_ii,Boula II,ngonga
boulel_i,Boulel I,ngonga
boulel_ii,Boulel III,ngonga
boulel_iii,Boulel III,ngonga
dar_es_salam,Dar Es Salam,ngonga
dia_wando_ii,Dia Wando Ii,ngonga
doulouwel_bella,Doulouwel Bella,ngonga
doulouwel_peulh,Doulouwel Peulh,ngonga
garoubeye,Garoubeye,ngonga
guillare_zarma,Guillare Zarma,ngonga
guillare_peulh,Guillare Peulh,ngonga
heda_faraka,Heda Faraka,ngonga
kalla_pathe,Kalla Pathe,ngonga
kannare,Kannare,ngonga
kofouno,Kofouno,ngonga
kohinza,Kohinza,ngonga
louloudje_zarma,Louloudje Zarma,ngonga
louloudje_peulh,Louloudje Peulh,ngonga
nioumay,Nioumay,ngonga
nioumay,Nioumay,ngonga
n'gonga_peulh,N'Gonga Peulh,ngonga
n'gonga_zarma,N'Gonga Zarma,ngonga
seno_peulh,Seno Peulh,ngonga
tchede_bonhamni,Tchede Bonhamni,ngonga
tinoma,Tinoma,ngonga
zawa,Zawa,ngonga
dar_es_salam_mali,Dar Es Salam Mali,ngonga
dar_es_salam_koira_zeno,Dar Es Salam Koira Zeno,ngonga
dia_wand_ daney,Dia Wando Daney,ngonga
autre,Autre (… pr‚ciser),ngonga
